Курс;1;Группа  ВВТ-106;
ПЕРВЫЙ
;1;История;ВСГ
;2;Экономика;ВЭМ
;3;Математический анализ;ВПФМ
;4;Линейная алгебра и аналит. геометрия;ВПФМ
;5;Информатика;ВИТ
;6;Дискретная математика;ВИТ
;7;Основы программирования;ВИТ
;8;Иностранный язык;ВСГ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
второй
;1;Философия;ВСГ
;2;Коммуникации в профессиональной деятельности;ВСГ
;3;Иностранный язык;ВСГ
;4;Математический анализ;ВПФМ
;5;Основы программирования;ВИТ
;6;Математическая логика и теория алгоритмов;ВИТ
;7;Физика;ВПФМ
;8;Машинная графика;ВКМ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
Курс;2;Группа  ВВТ-206;
третий
;1;Безопасность жизнедеятельности;ВТПЭ
;2;Физика;ВПФМ
;3;Электротехника и электроника;ВАЭ и ВТ
;4;Архитектура ЭВМ;ВАЭ и ВТ
;5;Машинно-зависимые языки;ВИТ
;6;Физическая культура и спорт;ВКФ
;7;Иностранный язык;ВСГ
;8;Алгоритмы и анализ сложности;ВИТ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;10;Учебная практика;ВИТ

четвертый
;1;Операционные системы;ВИТ
;2;Физическая культура и спорт;ВКФ
;3;Иностранный язык;ВСГ
;4;Основы правовых знаний;ВСГ
;5;Вычислительная математика;ВПФМ
;6;Теория вероятностей, математическая статистика и случайные процессы;ВПФМ
;7;Теория формальных языков и методов трансляции;ВИТ
;8;Системный анализ;ВАЭ и ВТ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;10;Учебная практика (практика по получению первичных проф. умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности);ВИТ
Курс;3;Группа  ВВТ-306;
пятый
;1;Социология;ВСГ
;2;Методы оптимизации;ВИТ
;3;Мобильные и встраиваемые операционные системы;ВИТ
;4;Основы системного программного обеспечения;ВИТ
;6;Основы концептуального проектирования систем;ВИТ
;7;Элективные дисциплины по физической культуре и спорту;ВКФ
;8;Теоретические основы автоматизированного управления;ВАЭ и ВТ
;9;Надежность и качество программного обеспечения;ВИТ
;;;
шестой
;1;Моделирование систем;ВАЭ и ВТ
;2;Базы данных;ВИТ
;2;Сети и телекоммуникации;ВАЭ и ВТ
;3;Компьютерная графика;ВИТ
;4;Теория принятия решений;ВИТ
;5;Введение в проектирование автоматизированных систем обработки информации и управления;ВИТ
;6;Элективные дисциплины по физической культуре и спорту;ВКФ
;7;Информационно-библиотечные системы (0 чел.);ВЭМ
;8;Производственная практика  (практика по получению проф. умений и опыта проф. деятельности);ВИТ

Курс;4;Группа  ВВТ-406;
седьмой
;1;Физическая культура и спорт;ВКФ
;2;Мультимедийные технологии;ВИТ
;3;Аналитическое программное обеспечение;ВИТ
;4;Проектирование и разработка программного обеспечения;ВИТ
;5;Выполнение выпускной работы;ВИТ
;6;Элективные дисциплины по физической культуре и спорту;ВКФ
;7;Задачи математической физики;ВПФМ
;8;Проектирование человеко-машинного интерфейса;ВИТ
;9;Основы проектирования WEB-приложений;ВИТ
восьмой
;1;Системы управления знаниями;ВАЭ и ВТ
;2;Основы систем управления ресурсами предприятия;ВИТ
;3;Выполнение выпускной работы;ВИТ
;4;Защита информации;ВИТ
;5;Методы анализа нечеткой информации;ВИТ
;6;Компьютерные методы обработки экспериментальных данных;ВИТ
;7;Производственная (преддипломная) практика;ВИТ

