Курс;1;Группа  ВИП-108;
Сем.;№;Наименование дисциплин;Кафедры
;;;
ПЕРВЫЙ
;1;История;ВСГ
;2;Экономика;ВЭМ
;3;Математический анализ;ВПФМ
;4;Линейная алгебра и аналит. геометрия;ВПФМ
;5;Информатика;ВИТ
;6;Основы программирования;ВИТ
;7;Иностранный язык;ВСГ
;8;Дискретная математика;ВИТ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
ВТОРОЙ
;1;Философия;ВСГ
;2;Коммуникации в профессиональной деятельности;ВСГ
;3;Иностранный язык;ВСГ
;4;Математический анализ;ВПФМ
;5;Основы программирования;ВИТ
;6;Математическая логика и теория алгоритмов;ВИТ
;7;Физика;ВПФМ
;8;Машинная графика;ВКМ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
Курс;2;Группа  ВИП-208;
Сем.;№;Наименование дисциплин;Кафедры
;;;
третий
;1;Безопасность жизнедеятельности;ВТПЭ
;2;Физика;ВПФМ
;3;Электротехника и электроника;ВАЭ и ВТ
;4;Архитектура ЭВМ;ВАЭ и ВТ
;5;Машинно-зависимые языки;ВИТ
;6;Физическая культура и спорт;ВКФ
;7;Иностранный язык;ВСГ
;8;Алгоритмы и анализ сложности;ВИТ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;10;Учебная практика (практика по получению первичных проф. умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности);ВИТ
;;;
четвертый
;1;Операционные системы;ВИТ
;2;Физическая культура и спорт;ВКФ
;3;Иностранный язык;ВСГ
;4;Основы правовых знаний;ВСГ
;5;Теория вероятностей, математическая статистика и случайные процессы;ВПФМ
;6;Объектно-ориентированный анализ и проектирование;ВИТ
;7;Теория формальных языков и методов трансляции;ВИТ
;8;Элективные дисциплины по физической культуре и спорту;ВКФ
;9;Разработка математического обеспечения программных систем;ВИТ
;10;Учебная практика;ВИТ
;;;
Курс;3;Группа  ВИП-308;
Сем.;№;Наименование дисциплин;Кафедры
;;;
пятый
;1;Социология;ВСГ
;2;Программирование мобильных устройств;ВИТ
;3;Надежность и качество программного обеспечения;ВИТ
;4;Объектно-ориентированное программирование;ВИТ
;5;Исследование операций;ВИТ
;6;Типы и структуры данных;ВИТ
;7;Элективные дисциплины по физической культуре и спорту;ВКФ
;8;Тестирование и отладка программного обеспечения;ВИТ
;;;
шестой
;1;Базы данных;ВИТ
;2;Сети и телекоммуникации;ВАЭ и ВТ
;3;Компьютерная графика;ВИТ
;4;Исследование операций;ВИТ
;5;Спецификация, архитектура и проектирование программных систем;ВИТ
;6;Элективные дисциплины по физической культуре и спорту;ВКФ
;7;Основы управления IT-проектами;ВИТ
;8;Информационно-библиотечные системы (0 чел.);ВЭМ
;9;Производственная практика (научно-исследовательская работа);ВИТ
;;;
Курс;4;Группа  ВИП-408;
Сем.;№;Наименование дисциплин;Кафедры
;;;
седьмой
;1;Физическая культура и спорт;ВКФ
;2;Программирование в среде 1С;ВИТ
;3;Технология командной разработки программных систем;ВИТ
;4;Конструирование программного обеспечения;ВИТ
;5;Выполнение выпускной работы;ВИТ
;6;Элективные дисциплины по физической культуре и спорту;ВКФ
;7;Проектирование человеко-машинного интерфейса;ВИТ
;8;Основы проектирования WEB-приложений;ВИТ
;9;Аналитическое программное обеспечение;ВИТ
;;;
восьмой
;1;Защита информации;ВИТ
;2;Выполнение выпускной работы;ВИТ
;3;Экономика программной инженерии;ВИТ
;4;Компьютерные методы обработки экспериментальных данных;ВИТ
;5;Методы анализа нечеткой информации;ВИТ
;6;Введение в разработку интеллектуальных систем;ВАЭ и ВТ
;7;Производственная (преддипломная) практика;ВИТ
