Курс;1;Группа  ВХТ-101;
Сем.;№;Наименование дисциплин;Кафедры
;;;
первый
;1;История;ВСГ
;2;Экономика;ВЭМ
;3;Иностранный язык;ВСГ
;4;Математика;ВПФМ
;5;Информатика;ВИТ
;6;Физика;ВПФМ
;7;Общая и неорганическая химия;ВХТО
;8;Инженерная графика;ВКМ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
второй
;1;Философия ;ВСГ
;2;Коммуникации в профессиональной деятельности;ВСГ
;3;Иностранный язык;ВСГ
;4;Математика ;ВПФМ
;5;Информатика;ВИТ
;6;Физика;ВПФМ
;7;Общая и неорганическая химия;ВХТО
;8;Органическая химия;ВХТО
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
Курс;2;Группа  ВХТ-201;
Сем.;№;Наименование дисциплин;Кафедры
;;;
третий
;1;Иностранный язык;ВСГ
;2;Органическая химия;ВХТО
;3;Аналитическая химия и ФХМА;ВХТО
;4;Прикладная механика;ВКМ
;5;Физическая культура и спорт;ВКФ
;6;Физика;ВПФМ
;7;Математика;ВПФМ
;8;Материаловедение;ВТПЭ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
четвертый
;1;Иностранный язык;ВСГ
;2;Органическая химия;ВХТО
;3;Физическая химия;ВХТО
;4;Физическая культура и спорт;ВКФ
;5;Метрология, стандартизация и сертификация;ВТО
;6;Теплотехника;ВХТО
;7;Экология;ВТПЭ
;8;Основы правовых знаний;ВСГ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;10;Информационные технологии в процессах переработки полимеров;ВТПЭ
;11;Учебная практика;ВТПЭ
;;;
Курс;3;Группа  ВХТ-301;
Сем.;№;Наименование дисциплин;Кафедры
;;;
пятый
;1;Социология;ВСГ
;2;Аналитическая химия и ФХМА;ВХТО
;3;Физическая химия;ВХТО
;4;Общая химическая технология;ВХТО
;5;Процессы и аппараты химической технологии;ВХТО
;6;Безопасность жизнедеятельности;ВТПЭ
;7;Электротехника и промышленная электроника;ВАЭиВТ
;8;Химия циклических и гетероциклических соединений;ВХТО
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
шестой
;1;Коллоидная химия;ВТПЭ
;2;Процессы и аппараты химической технологии;ВХТО
;3;Введение в ХТ полимеров;ВТПЭ
;4;Химия полимеров;ВТПЭ
;5;Элективные дисциплины по физической культуре и спорту;ВКФ
;6;Введение в наноматериалы и нанотехнологии;ВТПЭ
;7;Информационно-библиотечные системы (0 чел.);ВЭМ
;8;Производственная практика (практика по получению проф. умений и опыта проф. деятельн.);ВТПЭ
;;Производственная практика (научно-исследовательская работа);ВТПЭ
;;;
Курс;4;Группа  ВХТ-401;
Сем.;№;Наименование дисциплин;Кафедры
;;;
седьмой
;1;Моделирование химико-технологических процессов;ВТПЭ
;2;Физическая культура и спорт;ВКФ
;3;Химия нефти и газа;ВХТО
;4;Физика полимеров;ВТПЭ
;5;Химические реакторы;ВХТО
;6;Выполнение выпускной квалификац. работы бакалавра;ВТПЭ
;7;Химия биополимеров;ВТПЭ
;8;Теоретические основы переработки эластомеров;ВТПЭ
;9;Общая технология полимерных материалов;ВТПЭ
;10;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
восьмой
;1;Выполнение выпускной квалификац. работы бакалавра;ВТПЭ
;2;Системы управления химико-технологическими процессами;ВТПЭ
;3;Физико-химия растворов полимеров;ВТПЭ
;4;Технология химических волокон;ВТПЭ
;5;Основы проектирования установок предприятий отрасли;ВТПЭ
;6;Производственная (преддипломная) практика;ВТПЭ
