Курс;1;Группа ВЭМ-113;
Сем.;№;Наименование дисциплин;Кафедры
;;;
первый
;1;История;ВСГ
;2;Теория менеджмента;ВЭМ
;3;Иностранный язык;ВСГ
;4;Математика;ВПФМ
;5;История экономики и экономических учений;ВЭМ
;6;Концепции современного естествознания;ВХТО
;7;Экономическая теория;ВЭМ
;8;Философия;ВСГ
;9;Коммуникации в профессиональной деятельности;ВСГ
;10;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
второй
;1;Социология;ВСГ
;2;Иностранный язык;ВСГ
;3;Математика;ВПФМ
;4;Экономическая теория;ВЭМ
;5;Безопасность жизнедеятельности;ВТПЭ
;6;Информационные технологии;ВЭМ
;7;Основы правовых знаний;ВСГ
;8;Институцианальная экономика;ВЭМ
;9;Международные валютно-кредитные отношения;ВЭМ
;10;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
Курс;2;Группа ВЭМ-213;
Сем.;№;Наименование дисциплин;Кафедры
;;;
третий
;1;Иностранный язык;ВСГ
;2;Теория организации;ВЭМ
;3;Экономика предприятия;ВЭМ
;4;Физическая культура и спорт;ВКФ
;5;Элективные дисциплины по физической культуре и спорту;ВКФ
;6;Тайм-менеджмент;ВЭМ
;7;Организация предпринимательской деятельности;ВЭМ
;8;Учебная практика (практика по получению первичных проф. умений и навыков);ВЭМ
;;;
четвертый
;1;Иностранный язык;ВСГ
;2;Управление человеческими ресурсами;ВЭМ
;3;Маркетинг;ВЭМ
;4;Физическая культура и спорт;ВКФ
;5;Элективные дисциплины по физической культуре и спорту;ВКФ
;6;Логистика;ВЭМ
;7;Информационно-библиотечные системы (6 чел.);ВЭМ
;8;Учебная практика (практика по получению первичных проф. умений и навыков);ВЭМ
;;;
Курс;3;Группа ВЭМ-313;
Сем.;№;Наименование дисциплин;Кафедры
;;;
пятый
;1;Бухгалтерский учет и анализ;ВЭМ
;2;Государственные и муниципальные финансы;ВЭМ
;3;Элективные дисциплины по физической культуре и спорту;ВКФ
;4;Управление инновациями;ВЭМ
;5;Финансы и кредит;ВЭМ
;6;Планирование на предприятии;ВЭМ
;7;Производственная практика;ВЭМ
;;;
шестой
;1;Социальная ответственность бизнеса;ВЭМ
;2;Налоги и налогообложение;ВЭМ
;3;Финансовые инвестиции;ВЭМ
;4;Элективные дисциплины по физической культуре и спорту;ВКФ
;5;Финансовая математика;ВЭМ
;6;Рекламный менеджмент;ВЭМ
;7;Производственная практика;ВЭМ
;;;
Курс;4;Группа ВЭМ-413;
Сем.;№;Наименование дисциплин;Кафедры
;;;
седьмой
;1;Физическая культура и спорт;ВКФ
;2;Анализ и диагностика финансово-хозяйственной деятельности;ВЭМ
;3;Аудит;ВЭМ
;4;Финансовые рынки и институты;ВЭМ
;5;Стратегическое управление;ВЭМ
;6;Элективные дисциплины по физической культуре и спорту;ВКФ
;7;Производственная (преддипломная) практика;ВЭМ
;;;
восьмой
;1;Финансовый менеджмент;ВЭМ
;2;Экономическая безопасность;ВЭМ
;3;Антикризисное управление;ВЭМ
;4;Производственная (преддипломная) практика;ВЭМ
